country,lrscale,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,imtcjob,rlgueim,gndr,agea,ipeqopt,ipfrule,ipudrst,ipmodst,ipbhprp,impenv,imptrad,edu
CZ,5,2,2,3,6,5,7,6,7,2,18,5,2,4,3,4,4,3,0
CZ,5,2,1,1,10,8,9,10,10,1,75,4,6,2,4,5,6,6,0
CZ,10,1,1,1,10,10,10,10,10,2,22,5,6,5,4,5,6,6,0
CZ,5,3,2,3,5,5,8,10,7,1,22,6,3,5,4,4,6,6,0
CZ,5,2,2,2,6,7,7,5,7,2,64,6,6,5,3,5,6,5,0
CZ,6,2,2,2,4,7,8,2,5,1,67,5,6,5,5,4,6,5,0
CZ,4,2,2,2,7,5,6,6,6,1,68,3,4,3,3,4,4,3,0
CZ,0,3,1,2,7,5,7,6,5,2,53,5,6,3,5,5,4,5,0
CZ,3,2,2,2,7,5,8,8,6,2,54,6,5,4,3,4,6,4,1
CZ,5,2,2,2,9,7,7,10,6,2,28,2,4,4,3,3,5,4,0
CZ,7,2,2,2,9,9,8,9,7,1,47,5,6,5,4,5,4,5,0
CZ,7,4,4,4,0,2,0,4,4,2,19,5,3,4,5,6,4,5,0
CZ,7,3,3,3,5,5,3,3,5,2,43,5,3,5,5,5,6,5,0
CZ,10,2,1,2,6,5,5,10,5,1,46,6,5,5,6,6,6,5,0
CZ,3,2,2,2,8,7,7,7,7,1,65,6,4,5,6,5,5,6,0
CZ,7,2,2,2,7,7,7,6,4,1,27,5,3,4,3,5,4,4,1
CZ,5,3,3,3,4,4,4,6,5,2,73,6,5,6,4,6,5,2,0
CZ,4,1,1,1,9,10,8,10,8,1,41,4,2,3,5,3,4,3,0
CZ,6,2,1,1,7,8,6,7,6,2,31,4,4,5,4,5,4,3,1
CZ,10,2,2,2,5,6,6,5,5,1,40,4,4,4,4,4,3,1,0
CZ,1,2,2,1,5,6,7,6,5,2,43,4,5,6,4,4,6,3,0
CZ,5,2,2,2,7,7,7,7,7,1,69,3,2,2,2,2,3,3,0
